username,tool,start_time,end_time,duration
devyben17,periodic table,4/1/14 14:34,4/1/14 14:34,1.780205
devyben17,spectra,4/1/14 14:34,4/1/14 14:34,2.658094
devyben17,mission control,4/1/14 14:34,4/1/14 14:34,0.423496
devyben17,mission control,4/1/14 14:34,4/1/14 14:34,0.478427
devyben17,mission control,4/1/14 14:34,4/1/14 14:35,1.000287
devyben17,mission control,4/1/14 14:35,4/1/14 14:40,304.215625
devyben17,alien database,4/1/14 14:43,4/1/14 14:51,475.008155
devyben17,spectra,4/1/14 14:45,4/1/14 14:47,93.881015
devyben17,solar system,4/1/14 14:47,4/1/14 14:51,225.542339
devyben17,periodic table,4/1/14 14:47,4/1/14 14:47,11.346167
devyben17,mission control,4/1/14 14:52,4/1/14 14:53,66.504346
devyben17,alien database,4/1/14 14:53,4/1/14 14:55,94.159216
devyben17,spectra,4/1/14 14:54,4/1/14 14:54,49.300847
devyben17,solar system,4/2/14 14:07,4/2/14 14:07,2.95373
devyben17,alien database,4/2/14 14:09,4/2/14 14:23,817.347832
devyben17,alien database,4/2/14 14:26,4/2/14 14:35,551.658921
devyben17,missions,4/2/14 14:27,4/2/14 14:27,6.604018
devyben17,alien database,4/2/14 14:28,4/2/14 14:35,385.236561
devyben17,probe design,4/2/14 14:35,4/2/14 14:35,0.445202
devyben17,probe design,4/2/14 14:35,4/2/14 14:35,4.271764
devyben17,alien database,4/2/14 14:35,4/2/14 14:52,986.679695
devyben17,solar system,4/2/14 14:36,4/2/14 14:37,84.694175
devyben17,spectra,4/2/14 14:37,4/2/14 14:37,24.744422
devyben17,solar system,4/2/14 14:38,4/2/14 14:46,448.802535
devyben17,solar system,4/2/14 14:46,4/2/14 14:52,352.22772
devyben17,concepts,4/2/14 14:47,4/2/14 14:51,233.942274
devyben17,missions,4/3/14 14:23,4/3/14 14:23,4.446239
devyben17,concepts,4/3/14 14:23,4/3/14 14:36,810.581723
devyben17,alien database,4/3/14 14:37,4/3/14 14:43,374.067141
devyben17,solar system,4/3/14 14:37,4/3/14 14:41,246.95566
devyben17,spectra,4/3/14 14:42,4/3/14 14:43,39.815557
devyben17,mission control,4/3/14 14:43,4/3/14 14:44,41.284536
devyben17,spectra,4/3/14 14:43,4/3/14 14:44,10.220208
devyben17,periodic table,4/3/14 14:44,4/3/14 14:44,6.565561
